doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_cnbc.com.52094-s	5	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-s	6	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-s	7	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-s	8	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-s	9	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230737-s	10	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-s	11	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-s	12	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-s	13	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-s	14	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230238-s	15	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230737-s	16	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	17	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-s	18	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-s	19	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.231314-s	20	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	21	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	22	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	23	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.231311-k	24	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_cnbc.com.52094-k	25	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	26	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-k	27	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-k	28	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-k	29	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230737-k	30	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	31	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-k	32	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.228996-k	33	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.229703-k	34	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230238-k	35	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.230737-k	36	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	37	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	38	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-k	39	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_guardian.231314-k	40	cs	en	challenge_mslc-b	hyp-1	news	NaN	1.000000
en-cs_CZ_#_news_#_nytimes.153341-smis	41	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.993507
en-cs_CZ_#_news_#_nytimes.153341-smis	42	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998657
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-smis	43	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.997341
en-cs_CZ_#_news_#_guardian.231311-smis	44	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996541
en-cs_CZ_#_news_#_cnbc.com.52094-smis	45	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996358
en-cs_CZ_#_news_#_nytimes.153341-smis	46	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998427
en-cs_CZ_#_news_#_guardian.229703-smis	47	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.999982
en-cs_CZ_#_news_#_guardian.228996-smis	48	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998168
en-cs_CZ_#_news_#_guardian.229703-smis	49	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.993544
en-cs_CZ_#_news_#_guardian.230737-smis	50	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.995534
en-cs_CZ_#_news_#_nytimes.153341-smis	51	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996448
en-cs_CZ_#_news_#_guardian.228996-smis	52	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.997470
en-cs_CZ_#_news_#_guardian.228996-smis	53	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.999028
en-cs_CZ_#_news_#_guardian.229703-smis	54	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996900
en-cs_CZ_#_news_#_guardian.230238-smis	55	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.993162
en-cs_CZ_#_news_#_guardian.230737-smis	56	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.999093
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-smis	57	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.988173
en-cs_CZ_#_news_#_nytimes.153341-smis	58	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.975359
en-cs_CZ_#_news_#_nytimes.153341-smis	59	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.997034
en-cs_CZ_#_news_#_guardian.231314-smis	60	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996863
en-cs_CZ_#_news_#_nytimes.153341-kmis	61	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.993507
en-cs_CZ_#_news_#_nytimes.153341-kmis	62	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998657
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-kmis	63	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.997341
en-cs_CZ_#_news_#_guardian.231311-kmis	64	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996541
en-cs_CZ_#_news_#_cnbc.com.52094-kmis	65	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996358
en-cs_CZ_#_news_#_nytimes.153341-kmis	66	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998427
en-cs_CZ_#_news_#_guardian.229703-kmis	67	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.999982
en-cs_CZ_#_news_#_guardian.228996-kmis	68	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.998168
en-cs_CZ_#_news_#_guardian.229703-kmis	69	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.993544
en-cs_CZ_#_news_#_guardian.230737-kmis	70	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.995534
en-cs_CZ_#_news_#_nytimes.153341-kmis	71	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.996448
en-cs_CZ_#_news_#_guardian.228996-kmis	72	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.997470
