doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-12.079254150390625
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.057403564453125
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-19.10483169555664
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-21.682613372802734
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-23.73836898803711
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-24.32335090637207
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.14044952392578
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.1729679107666
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-19.074039459228516
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-31.710819244384766
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-12.459810256958008
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-23.730670928955078
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-8.997093200683594
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-15.612115859985352
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-16.31695556640625
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-17.15483856201172
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-15.88023567199707
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-13.034235000610352
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-12.25648021697998
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-15.478548049926758
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-15.688558578491211
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-11.03720474243164
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.94011688232422
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-31.073692321777344
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.952510833740234
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-26.143356323242188
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-23.77291488647461
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-30.8494873046875
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-19.771379470825195
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.845661163330078
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-15.817639350891113
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-28.21809196472168
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-25.647607803344727
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-33.748809814453125
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-20.405378341674805
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-34.61055374145508
