doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8839
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9251
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9683
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9097
en-cs_CZ_#_news_#_cnbc.com.52094-s	5	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9568
en-cs_CZ_#_news_#_nytimes.153341-s	6	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9024
en-cs_CZ_#_news_#_guardian.229703-s	7	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8908
en-cs_CZ_#_news_#_guardian.228996-s	8	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9212
en-cs_CZ_#_news_#_guardian.229703-s	9	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9369
en-cs_CZ_#_news_#_guardian.230737-s	10	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9784
en-cs_CZ_#_news_#_nytimes.153341-s	11	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8834
en-cs_CZ_#_news_#_guardian.228996-s	12	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9386
en-cs_CZ_#_news_#_guardian.228996-s	13	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9144
en-cs_CZ_#_news_#_guardian.229703-s	14	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9461
en-cs_CZ_#_news_#_guardian.230238-s	15	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8924
en-cs_CZ_#_news_#_guardian.230737-s	16	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9107
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	17	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9668
en-cs_CZ_#_news_#_nytimes.153341-s	18	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9508
en-cs_CZ_#_news_#_nytimes.153341-s	19	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8973
en-cs_CZ_#_news_#_guardian.231314-s	20	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9714
en-cs_CZ_#_news_#_nytimes.153341-k	21	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8825
en-cs_CZ_#_news_#_nytimes.153341-k	22	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9234
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	23	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9671
en-cs_CZ_#_news_#_guardian.231311-k	24	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9075
en-cs_CZ_#_news_#_cnbc.com.52094-k	25	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9576
en-cs_CZ_#_news_#_nytimes.153341-k	26	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9021
en-cs_CZ_#_news_#_guardian.229703-k	27	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8895
en-cs_CZ_#_news_#_guardian.228996-k	28	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9210
en-cs_CZ_#_news_#_guardian.229703-k	29	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9364
en-cs_CZ_#_news_#_guardian.230737-k	30	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9774
en-cs_CZ_#_news_#_nytimes.153341-k	31	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8845
en-cs_CZ_#_news_#_guardian.228996-k	32	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9374
en-cs_CZ_#_news_#_guardian.228996-k	33	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9156
en-cs_CZ_#_news_#_guardian.229703-k	34	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9463
en-cs_CZ_#_news_#_guardian.230238-k	35	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9002
en-cs_CZ_#_news_#_guardian.230737-k	36	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9109
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	37	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9672
en-cs_CZ_#_news_#_nytimes.153341-k	38	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9502
en-cs_CZ_#_news_#_nytimes.153341-k	39	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8984
en-cs_CZ_#_news_#_guardian.231314-k	40	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.9711
en-cs_CZ_#_news_#_nytimes.153341-smis	41	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8714
en-cs_CZ_#_news_#_nytimes.153341-smis	42	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.8915
