doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.3803
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.5142
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.4530
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.5434
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2962
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.7067
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.0000
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.3528
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.4575
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2551
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	1.4446
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.3691
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.3864
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2622
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2599
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2458
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2682
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.2964
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	62.0394
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	52.4221
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	60.7002
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	53.7040
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	62.8361
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	51.2804
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	30.7090
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	83.3862
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	81.0943
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	79.3010
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	62.9878
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	72.4276
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	75.5067
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	74.6527
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	73.7670
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	72.9022
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	76.3938
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	76.8487
