doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en	challenge_mslc-b	hyp-1	news		0.1518987341772152
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en	challenge_mslc-b	hyp-1	news		0.5949367088607594
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en	challenge_mslc-b	hyp-1	news		0.9493670886075949
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en	challenge_mslc-b	hyp-1	news		0.4936708860759494
en-cs_CZ_#_news_#_cnbc.com.52094-s	5	cs	en	challenge_mslc-b	hyp-1	news		0.8860759493670886
en-cs_CZ_#_news_#_nytimes.153341-s	6	cs	en	challenge_mslc-b	hyp-1	news		0.4177215189873418
en-cs_CZ_#_news_#_guardian.229703-s	7	cs	en	challenge_mslc-b	hyp-1	news		0.25316455696202533
en-cs_CZ_#_news_#_guardian.228996-s	8	cs	en	challenge_mslc-b	hyp-1	news		0.569620253164557
en-cs_CZ_#_news_#_guardian.229703-s	9	cs	en	challenge_mslc-b	hyp-1	news		0.6455696202531646
en-cs_CZ_#_news_#_guardian.230737-s	10	cs	en	challenge_mslc-b	hyp-1	news		1.0
en-cs_CZ_#_news_#_nytimes.153341-s	11	cs	en	challenge_mslc-b	hyp-1	news		0.13924050632911392
en-cs_CZ_#_news_#_guardian.228996-s	12	cs	en	challenge_mslc-b	hyp-1	news		0.6708860759493671
en-cs_CZ_#_news_#_guardian.228996-s	13	cs	en	challenge_mslc-b	hyp-1	news		0.5316455696202531
en-cs_CZ_#_news_#_guardian.229703-s	14	cs	en	challenge_mslc-b	hyp-1	news		0.7088607594936709
en-cs_CZ_#_news_#_guardian.230238-s	15	cs	en	challenge_mslc-b	hyp-1	news		0.3037974683544304
en-cs_CZ_#_news_#_guardian.230737-s	16	cs	en	challenge_mslc-b	hyp-1	news		0.5063291139240507
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	17	cs	en	challenge_mslc-b	hyp-1	news		0.9113924050632911
en-cs_CZ_#_news_#_nytimes.153341-s	18	cs	en	challenge_mslc-b	hyp-1	news		0.8354430379746836
en-cs_CZ_#_news_#_nytimes.153341-s	19	cs	en	challenge_mslc-b	hyp-1	news		0.31645569620253167
en-cs_CZ_#_news_#_guardian.231314-s	20	cs	en	challenge_mslc-b	hyp-1	news		0.9746835443037974
en-cs_CZ_#_news_#_nytimes.153341-k	21	cs	en	challenge_mslc-b	hyp-1	news		0.12658227848101267
en-cs_CZ_#_news_#_nytimes.153341-k	22	cs	en	challenge_mslc-b	hyp-1	news		0.5822784810126582
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	23	cs	en	challenge_mslc-b	hyp-1	news		0.9240506329113924
en-cs_CZ_#_news_#_guardian.231311-k	24	cs	en	challenge_mslc-b	hyp-1	news		0.4810126582278481
en-cs_CZ_#_news_#_cnbc.com.52094-k	25	cs	en	challenge_mslc-b	hyp-1	news		0.8987341772151899
en-cs_CZ_#_news_#_nytimes.153341-k	26	cs	en	challenge_mslc-b	hyp-1	news		0.4050632911392405
en-cs_CZ_#_news_#_guardian.229703-k	27	cs	en	challenge_mslc-b	hyp-1	news		0.21518987341772153
en-cs_CZ_#_news_#_guardian.228996-k	28	cs	en	challenge_mslc-b	hyp-1	news		0.5569620253164557
en-cs_CZ_#_news_#_guardian.229703-k	29	cs	en	challenge_mslc-b	hyp-1	news		0.6329113924050633
en-cs_CZ_#_news_#_guardian.230737-k	30	cs	en	challenge_mslc-b	hyp-1	news		0.9873417721518988
en-cs_CZ_#_news_#_nytimes.153341-k	31	cs	en	challenge_mslc-b	hyp-1	news		0.189873417721519
en-cs_CZ_#_news_#_guardian.228996-k	32	cs	en	challenge_mslc-b	hyp-1	news		0.6582278481012658
en-cs_CZ_#_news_#_guardian.228996-k	33	cs	en	challenge_mslc-b	hyp-1	news		0.5443037974683544
en-cs_CZ_#_news_#_guardian.229703-k	34	cs	en	challenge_mslc-b	hyp-1	news		0.7215189873417721
en-cs_CZ_#_news_#_guardian.230238-k	35	cs	en	challenge_mslc-b	hyp-1	news		0.3670886075949367
en-cs_CZ_#_news_#_guardian.230737-k	36	cs	en	challenge_mslc-b	hyp-1	news		0.5189873417721519
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	37	cs	en	challenge_mslc-b	hyp-1	news		0.9367088607594937
en-cs_CZ_#_news_#_nytimes.153341-k	38	cs	en	challenge_mslc-b	hyp-1	news		0.8227848101265823
en-cs_CZ_#_news_#_nytimes.153341-k	39	cs	en	challenge_mslc-b	hyp-1	news		0.3291139240506329
en-cs_CZ_#_news_#_guardian.231314-k	40	cs	en	challenge_mslc-b	hyp-1	news		0.9620253164556962
en-cs_CZ_#_news_#_nytimes.153341-smis	41	cs	en	challenge_mslc-b	hyp-1	news		0.0759493670886076
en-cs_CZ_#_news_#_nytimes.153341-smis	42	cs	en	challenge_mslc-b	hyp-1	news		0.2911392405063291
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-smis	43	cs	en	challenge_mslc-b	hyp-1	news		0.759493670886076
en-cs_CZ_#_news_#_guardian.231311-smis	44	cs	en	challenge_mslc-b	hyp-1	news		0.20253164556962025
en-cs_CZ_#_news_#_cnbc.com.52094-smis	45	cs	en	challenge_mslc-b	hyp-1	news		0.7341772151898734
en-cs_CZ_#_news_#_nytimes.153341-smis	46	cs	en	challenge_mslc-b	hyp-1	news		0.22784810126582278
en-cs_CZ_#_news_#_guardian.229703-smis	47	cs	en	challenge_mslc-b	hyp-1	news		0.10126582278481013
en-cs_CZ_#_news_#_guardian.228996-smis	48	cs	en	challenge_mslc-b	hyp-1	news		0.3924050632911392
en-cs_CZ_#_news_#_guardian.229703-smis	49	cs	en	challenge_mslc-b	hyp-1	news		0.4430379746835443
en-cs_CZ_#_news_#_guardian.230737-smis	50	cs	en	challenge_mslc-b	hyp-1	news		0.7848101265822784
en-cs_CZ_#_news_#_nytimes.153341-smis	51	cs	en	challenge_mslc-b	hyp-1	news		0.05063291139240506
en-cs_CZ_#_news_#_guardian.228996-smis	52	cs	en	challenge_mslc-b	hyp-1	news		0.6075949367088608
en-cs_CZ_#_news_#_guardian.228996-smis	53	cs	en	challenge_mslc-b	hyp-1	news		0.34177215189873417
en-cs_CZ_#_news_#_guardian.229703-smis	54	cs	en	challenge_mslc-b	hyp-1	news		0.6962025316455697
en-cs_CZ_#_news_#_guardian.230238-smis	55	cs	en	challenge_mslc-b	hyp-1	news		0.02531645569620253
en-cs_CZ_#_news_#_guardian.230737-smis	56	cs	en	challenge_mslc-b	hyp-1	news		0.45569620253164556
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-smis	57	cs	en	challenge_mslc-b	hyp-1	news		0.7721518987341772
en-cs_CZ_#_news_#_nytimes.153341-smis	58	cs	en	challenge_mslc-b	hyp-1	news		0.0379746835443038
en-cs_CZ_#_news_#_nytimes.153341-smis	59	cs	en	challenge_mslc-b	hyp-1	news		0.17721518987341772
en-cs_CZ_#_news_#_guardian.231314-smis	60	cs	en	challenge_mslc-b	hyp-1	news		0.8734177215189873
en-cs_CZ_#_news_#_nytimes.153341-kmis	61	cs	en	challenge_mslc-b	hyp-1	news		0.08860759493670886
en-cs_CZ_#_news_#_nytimes.153341-kmis	62	cs	en	challenge_mslc-b	hyp-1	news		0.27848101265822783
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-kmis	63	cs	en	challenge_mslc-b	hyp-1	news		0.810126582278481
en-cs_CZ_#_news_#_guardian.231311-kmis	64	cs	en	challenge_mslc-b	hyp-1	news		0.26582278481012656
en-cs_CZ_#_news_#_cnbc.com.52094-kmis	65	cs	en	challenge_mslc-b	hyp-1	news		0.7974683544303798
en-cs_CZ_#_news_#_nytimes.153341-kmis	66	cs	en	challenge_mslc-b	hyp-1	news		0.24050632911392406
en-cs_CZ_#_news_#_guardian.229703-kmis	67	cs	en	challenge_mslc-b	hyp-1	news		0.11392405063291139
en-cs_CZ_#_news_#_guardian.228996-kmis	68	cs	en	challenge_mslc-b	hyp-1	news		0.379746835443038
en-cs_CZ_#_news_#_guardian.229703-kmis	69	cs	en	challenge_mslc-b	hyp-1	news		0.43037974683544306
en-cs_CZ_#_news_#_guardian.230737-kmis	70	cs	en	challenge_mslc-b	hyp-1	news		0.8481012658227848
en-cs_CZ_#_news_#_nytimes.153341-kmis	71	cs	en	challenge_mslc-b	hyp-1	news		0.06329113924050633
en-cs_CZ_#_news_#_guardian.228996-kmis	72	cs	en	challenge_mslc-b	hyp-1	news		0.620253164556962
en-cs_CZ_#_news_#_guardian.228996-kmis	73	cs	en	challenge_mslc-b	hyp-1	news		0.35443037974683544
en-cs_CZ_#_news_#_guardian.229703-kmis	74	cs	en	challenge_mslc-b	hyp-1	news		0.6835443037974683
en-cs_CZ_#_news_#_guardian.230238-kmis	75	cs	en	challenge_mslc-b	hyp-1	news		0.0
en-cs_CZ_#_news_#_guardian.230737-kmis	76	cs	en	challenge_mslc-b	hyp-1	news		0.46835443037974683
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-kmis	77	cs	en	challenge_mslc-b	hyp-1	news		0.7468354430379747
en-cs_CZ_#_news_#_nytimes.153341-kmis	78	cs	en	challenge_mslc-b	hyp-1	news		0.012658227848101266
en-cs_CZ_#_news_#_nytimes.153341-kmis	79	cs	en	challenge_mslc-b	hyp-1	news		0.16455696202531644
en-cs_CZ_#_news_#_guardian.231314-kmis	80	cs	en	challenge_mslc-b	hyp-1	news		0.8607594936708861
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en_GB	challenge_mslc-b	hyp-1	news		0.1518987341772152
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en_GB	challenge_mslc-b	hyp-1	news		0.5949367088607594
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en_GB	challenge_mslc-b	hyp-1	news		0.9493670886075949
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en_GB	challenge_mslc-b	hyp-1	news		0.4936708860759494
