doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.501059
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.513872
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.49463
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.496731
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.485092
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.50366
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.543951
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.477393
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.479607
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.477101
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.508811
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.513276
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.490489
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.48738
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.459701
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.48148
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.471898
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	0.479968
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.853271
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.806861
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.834035
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.78445
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.826414
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.774441
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.755912
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.928458
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.954466
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.920482
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.854913
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.886165
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.887751
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.867359
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.875765
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.849821
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.893441
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	0.896317
